i,s,t,capacity
Machine 4,17,2026,3952.0
Machine 4,17,2027,3912.0
Machine 4,17,2028,3936.0
Machine 4,17,2029,3936.0
Machine 4,17,2030,3936.0
Machine 4,17,2031,3936.0
Machine 4,17,2032,3936.0
Machine 5,17,2025,5131.0
Machine 5,17,2026,4604.0
Machine 5,17,2027,4032.0
Machine 5,17,2028,4032.0
Machine 5,17,2029,4032.0
Machine 5,17,2030,4032.0
Machine 5,17,2031,4032.0
Machine 5,17,2032,4032.0
Machine 1,18,2025,8520.0
Machine 1,18,2026,8520.0
Machine 1,18,2027,8520.0
Machine 1,18,2028,8520.0
Machine 1,18,2029,8520.0
Machine 1,18,2030,8520.0
Machine 1,18,2031,8520.0
Machine 1,18,2032,8520.0
Machine 2,18,2025,8520.0
Machine 2,18,2026,8520.0
Machine 2,18,2027,8483.0
Machine 2,18,2028,8507.0
Machine 2,18,2029,8483.0
Machine 2,18,2030,8483.0
Machine 2,18,2031,8483.0
Machine 2,18,2032,8507.0
Machine 3,18,2025,8520.0
Machine 3,18,2026,8520.0
Machine 3,18,2027,8483.0
Machine 3,18,2028,8507.0
Machine 3,18,2029,6509.0
Machine 3,18,2030,6509.0
Machine 3,18,2031,6509.0
Machine 3,18,2032,6509.0
Machine 4,18,2025,4852.0
Machine 4,18,2026,3952.0
Machine 4,18,2027,3912.0
Machine 4,18,2028,3936.0
Machine 4,18,2029,3936.0
Machine 4,18,2030,3936.0
Machine 4,18,2031,3936.0
Machine 4,18,2032,3936.0
Machine 5,18,2025,5131.0
Machine 5,18,2026,4604.0
Machine 5,18,2027,4032.0
Machine 5,18,2028,4032.0
Machine 5,18,2029,4032.0
Machine 5,18,2030,4032.0
Machine 5,18,2031,4032.0
Machine 5,18,2032,4032.0
Machine 1,19,2025,8520.0
Machine 1,19,2026,8520.0
Machine 1,19,2027,8520.0
Machine 1,19,2028,8520.0
Machine 1,19,2029,8520.0
Machine 1,19,2030,8520.0
Machine 1,19,2031,8520.0
Machine 1,19,2032,8520.0
Machine 2,19,2025,8520.0
Machine 2,19,2026,8520.0
Machine 2,19,2027,8483.0
Machine 2,19,2028,8507.0
Machine 2,19,2029,8483.0
Machine 2,19,2030,8483.0
Machine 2,19,2031,8483.0
Machine 2,19,2032,8507.0
Machine 3,19,2025,8520.0
Machine 3,19,2026,8520.0
Machine 3,19,2027,8483.0
Machine 3,19,2028,8507.0
Machine 3,19,2029,6509.0
Machine 3,19,2030,6509.0
Machine 3,19,2031,6509.0
Machine 3,19,2032,6509.0
Machine 4,19,2025,4852.0
Machine 4,19,2026,3952.0
Machine 4,19,2027,3912.0
Machine 4,19,2028,3936.0
Machine 4,19,2029,3936.0
Machine 4,19,2030,3936.0
Machine 4,19,2031,3936.0
Machine 4,19,2032,3936.0
Machine 5,19,2025,5131.0
Machine 5,19,2026,4604.0
Machine 5,19,2027,4032.0
Machine 5,19,2028,4032.0
Machine 5,19,2029,4032.0
Machine 5,19,2030,4032.0
Machine 5,19,2031,4032.0
Machine 5,19,2032,4032.0
Machine 1,20,2025,8520.0
Machine 1,20,2026,8520.0
Machine 1,20,2027,8520.0
Machine 1,20,2028,8520.0
Machine 1,20,2029,8520.0
Machine 1,20,2030,8520.0
Machine 1,20,2031,8520.0
Machine 1,20,2032,8520.0
Machine 2,20,2025,8520.0
Machine 2,20,2026,8520.0
Machine 2,20,2027,8483.0
Machine 2,20,2028,8507.0
Machine 2,20,2029,8483.0
Machine 2,20,2030,8483.0
Machine 2,20,2031,8483.0
Machine 2,20,2032,8507.0
Machine 3,20,2025,8520.0
Machine 3,20,2026,8520.0
Machine 3,20,2027,8483.0
Machine 3,20,2028,8507.0
Machine 3,20,2029,6509.0
Machine 3,20,2030,6509.0
Machine 3,20,2031,6509.0
Machine 3,20,2032,6509.0
Machine 4,20,2025,4852.0
Machine 4,20,2026,3952.0
Machine 4,20,2027,3912.0
Machine 4,20,2028,3936.0
Machine 4,20,2029,3936.0
Machine 4,20,2030,3936.0
Machine 4,20,2031,3936.0
Machine 4,20,2032,3936.0
Machine 5,20,2025,5131.0
Machine 5,20,2026,4604.0
Machine 5,20,2027,4032.0
Machine 5,20,2028,4032.0
Machine 5,20,2029,4032.0
Machine 5,20,2030,4032.0
Machine 5,20,2031,4032.0
Machine 5,20,2032,4032.0
Machine 1,21,2025,8520.0
Machine 1,21,2026,8520.0
Machine 1,21,2027,8520.0
Machine 1,21,2028,8520.0
Machine 1,21,2029,8520.0
Machine 1,21,2030,8520.0
Machine 1,21,2031,8520.0
Machine 1,21,2032,8520.0
Machine 2,21,2025,8520.0
Machine 2,21,2026,8520.0
Machine 2,21,2027,8483.0
Machine 2,21,2028,8507.0
Machine 2,21,2029,8483.0
Machine 2,21,2030,8483.0
Machine 2,21,2031,8483.0
Machine 2,21,2032,8507.0
Machine 3,21,2025,8520.0
Machine 3,21,2026,8520.0
Machine 3,21,2027,8483.0
Machine 3,21,2028,8507.0
Machine 3,21,2029,6509.0
Machine 3,21,2030,6509.0
Machine 3,21,2031,6509.0
Machine 3,21,2032,6509.0
Machine 4,21,2025,4852.0
Machine 4,21,2026,3952.0
Machine 4,21,2027,3912.0
Machine 4,21,2028,3936.0
Machine 4,21,2029,3936.0
Machine 4,21,2030,3936.0
Machine 4,21,2031,3936.0
